PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,score
0.239193418996903,0.15199330989183768,0.18128914995205975,0.5371854068141579,0.19454043351825956,0.5586943324588216,0.1702347839354425,0.40738724128521236,0.39874948817273204,0.488976508155548,0.30613666923111327,0.6323067245040579,17.0
0.23919341899665797,0.1519933098917312,0.18128914995202894,0.5371854068141046,0.19454043351835087,0.5586943324590752,0.17023478393527391,0.4073872412852793,0.39874948817257594,0.4889765081555655,0.30613666923111393,0.6323067245040781,5.0
0.23919341899665877,0.1519933098917331,0.18128914995204237,0.5371854068141317,0.1945404335183084,0.5586943324587841,0.1702347839353687,0.40738724128527504,0.3987494881726086,0.488976508155557,0.3061366692311206,0.6323067245040803,16.0
0.23919341899664903,0.15199330989181759,0.1812891499520437,0.5371854068141354,0.1945404335182926,0.5586943324587891,0.17023478393535343,0.4073872412852984,0.3987494881725988,0.4889765081555468,0.3061366692311317,0.6323067245040705,12.0
0.23919341899666052,0.1519933098917276,0.18128914995202872,0.5371854068141343,0.19454043351828626,0.5586943324587846,0.17023478393535804,0.407387241285298,0.3987494881726196,0.4889765081555592,0.3061366692311349,0.6323067245040748,7.0
0.23914701765328852,0.15205000916386352,0.6689641207745267,0.580346818811051,0.1977801781810377,0.5744991730539603,0.13892231456267012,0.4196751392620667,0.40395098810016683,0.48291608038740885,0.28283202179162825,0.2875057021354038,20.0
0.2391470176532884,0.15205000916386363,0.6689641207745558,0.5803468188110443,0.19778017818104743,0.5744991730539575,0.1389223145626741,0.4196751392620589,0.40395098810016417,0.4829160803874081,0.2828320217916336,0.2875057021354568,15.0
0.23917522789667298,0.15195360649926276,0.6461973876515577,0.7584049372256739,0.5745646659504313,0.5664524953487444,0.21686641070657195,0.5296009403014836,0.47079594539172254,0.8730652794877471,0.2740607280879883,0.274032632133811,16.0
0.23914701765328844,0.15205000916386363,0.6689641207745405,0.5803468188110381,0.19778017818103044,0.574499173053958,0.1389223145626706,0.41967513926205974,0.40395098810016394,0.48291608038740275,0.28283202179163075,0.28750570213542975,26.0
0.23914701765328844,0.15205000916386352,0.6689641207745399,0.5803468188110461,0.19778017818104449,0.5744991730539571,0.13892231456267218,0.4196751392620605,0.40395098810016483,0.48291608038740647,0.28283202179163097,0.2875057021354309,5.0
0.23919341899666027,0.15199330989173004,0.1812891499520407,0.5371854068141372,0.19454043351830264,0.5586943324587887,0.17023478393537406,0.4073872412852732,0.3987494881726058,0.4889765081555555,0.3061366692311242,0.6323067245040823,18.0
0.2391138518428416,0.15241333993708545,0.6366344172050022,0.8644406604490913,0.6486187533287526,0.5293551632848409,0.15701613083049507,0.40679605470969343,0.4057770649890106,0.2778390234817739,0.28373669740265217,0.28490304184442883,24.0
